Chemical_Group_Name,EC_No,CAS_No,Annex
" dichlorodioctylstannane ","222-583-2","3542-36-7",""
"(1α,2α,3β,4α,5β,6β)-1,2,3,4,5,6-hexachlorocyclohexane","206-270-8","319-84-6","Annex V Part 1"
"(1α,2β,3α,4β,5α,6β)-1,2,3,4,5,6-hexachlorocyclohexane","206-271-3","319-85-7","Annex V Part 1"
"(2',7'-dibromo-3',6'-dihydroxy-3-oxospiro[isobenzofuran-1(3H),9'-[9H]xanthen]-4'-yl)hydroxymercury","259-779-2","55728-51-3",""
"(2-carboxy-m-tolyl)hydroxymercury, monosodium salt","258-195-5","52795-88-7",""
"(2-carboxyphenyl)hydroxymercury","237-918-8","14066-61-6",""
"(2-ethylhexanoato)phenylmercury","236-326-7","13302-00-6",""
"(2-hydroxyethyl)diethylammonium (2,4,5-trichlorophenoxy)acetate","258-538-9","53404-86-7",""
"(4-hexyl-2-thienyl)(trimethyl)stannane","","154717-22-3",""
"(9Z,12Z)-1,1,3,3-tetrabutyl-1,3-bis(octadeca-9,12-dienoyloxy)distannoxane","305-143-5","94349-26-5",""
"(9Z,12Z,15Z)-1,1,3,3-tetrabutyl-1,3-bis(octadeca-9,12,15-trienoyloxy)distannoxane","305-141-4","94349-25-4",""
"(E)-isomer","","297-99-4",""
"(E,E)-tributyl(hexa-2,4-dienoyloxy)stannane","279-149-0","79403-36-4",""
"(NE,E)-N-({3,3'-dimethoxy-4'-[(E)-{[(1E)-[2-(4-nitrophenyl)hydrazin-1-ylidene](phenyl)methyl]imino}amino]-[1,1'-biphenyl]-4-yl}imino)-N'-[(4-nitrophenyl)amino]benzenecarboximidamide","621-481-9","16325-01-2",""
"(NE,Z)-N-({3,3'-dimethoxy-4'-[(E)-{[(1Z)-(4-nitrophenyl)[2-(4-nitrophenyl)hydrazin-1-ylidene]methyl]imino}amino]-[1,1'-biphenyl]-4-yl}imino)-4-nitro-N'-[(4-nitrophenyl)amino]benzene-1-carboximidamide","677-171-9","19333-63-2",""
"(R)-12-hydroxyoleic acid, barium cadmium salt","275-370-1","71411-66-0",""
"(S)-dichloro[2-[[(2,3-dihydroxypropoxy)hydroxyphosphinyl]oxy]triethylmethylammoniumato]cadmium","265-010-1","64681-08-9",""
"(Z)-isomer","","23783-98-4",""
"(Z,Z)-1,1,3,3-tetrabutyl-1,3-bis[(1-oxooctadec-9-enyl)oxy]distannoxane","267-223-5","67827-59-2",""
"(acetato-O)[3-(chloromethoxy)propyl-C,O]mercury","227-719-4","5954-14-3",""
"(acetato-O)diamminephenylmercury","269-247-1","68201-97-8",""
"(acetato-O)ethylmercury","203-688-2","109-62-6",""
"(acetato-O)methylmercury","203-547-5","108-07-6",""
"(acryloyloxy)tributylstannane","236-381-7","13331-52-7",""
"(bromodichloromethyl)phenylmercury","221-961-4","3294-58-4",""
"(dihydroxyphenyl)phenylmercury","248-426-8","27360-58-3",""
"(lactato-O1,O2)mercury","242-673-5","18918-06-4",""
"(maleoyldioxy)bis[phenylmercury]","220-286-2","2701-61-3",""
"(metaborato-O)phenylmercury","250-518-8","31224-71-2",""
"(neodecanoato-O)phenylmercury","247-783-7","26545-49-3",""
"(oleato)phenylmercury","203-218-6","104-60-9",""
"(phenylmercurio)urea","218-909-8","2279-64-3",""
"-","","",""
"1,1'-Biphenyl, 2,2',6,6'-tetrabromo-","","97038-96-5",""
